tick_idx,climate_pass_stage,climate_pass_path,climate_pass_status
758,wind_air,gdext,done
759,wind_surface,gdext,done
760,transp,gdext,done
761,pass_a,data_core,done
762,pass_b,data_core,done
763,ocean_water,native_chunk,running
764,ocean_water,native_chunk,running
765,ocean_water,native_chunk,done
766,ocean_land,native_chunk,running
767,ocean_land,native_chunk,running
768,ocean_land,native_chunk,done
769,wind_air,gdext,done
770,wind_surface,gdext,done
771,transp,gdext,done
772,pass_a,data_core,done
773,pass_b,data_core,done
774,ocean_water,native_chunk,running
775,ocean_water,native_chunk,running
776,ocean_water,native_chunk,done
777,ocean_land,native_chunk,running
778,ocean_land,native_chunk,running
779,ocean_land,native_chunk,done
780,wind_air,gdext,done
781,wind_surface,gdext,done
782,transp,gdext,done
783,pass_a,data_core,done
784,pass_b,data_core,done
785,ocean_water,native_chunk,running
786,ocean_water,native_chunk,running
787,ocean_water,native_chunk,done
788,ocean_land,native_chunk,running
789,ocean_land,native_chunk,running
790,ocean_land,native_chunk,done
791,wind_air,gdext,done
792,wind_surface,gdext,done
793,transp,gdext,done
794,pass_a,data_core,done
795,pass_b,data_core,done
796,ocean_water,native_chunk,running
797,ocean_water,native_chunk,running
798,ocean_water,native_chunk,done
799,ocean_land,native_chunk,running
800,ocean_land,native_chunk,running
801,ocean_land,native_chunk,done
802,wind_air,gdext,done
803,wind_surface,gdext,done
804,transp,gdext,done
805,pass_a,data_core,done
806,pass_b,data_core,done
807,ocean_water,native_chunk,running
808,ocean_water,native_chunk,running
809,ocean_water,native_chunk,done
810,ocean_land,native_chunk,running
811,ocean_land,native_chunk,running
812,ocean_land,native_chunk,done
813,wind_air,gdext,done
814,wind_surface,gdext,done
815,transp,gdext,done
816,pass_a,data_core,done
817,pass_b,data_core,done
818,ocean_water,native_chunk,running
819,ocean_water,native_chunk,running
820,ocean_water,native_chunk,done
821,ocean_land,native_chunk,running
822,ocean_land,native_chunk,running
823,ocean_land,native_chunk,done
824,wind_air,gdext,done
825,wind_surface,gdext,done
826,transp,gdext,done
827,pass_a,data_core,done
828,pass_b,data_core,done
829,ocean_water,native_chunk,running
830,ocean_water,native_chunk,running
831,ocean_water,native_chunk,done
832,ocean_land,native_chunk,running
833,ocean_land,native_chunk,running
834,ocean_land,native_chunk,done
835,wind_air,gdext,done
836,wind_surface,gdext,done
837,transp,gdext,done
838,pass_a,data_core,done
839,pass_b,data_core,done
840,ocean_water,native_chunk,running
841,ocean_water,native_chunk,running
842,ocean_water,native_chunk,done
843,ocean_land,native_chunk,running
844,ocean_land,native_chunk,running
845,ocean_land,native_chunk,done
846,wind_air,gdext,done
847,wind_surface,gdext,done
848,transp,gdext,done
849,pass_a,data_core,done
850,pass_b,data_core,done
851,ocean_water,native_chunk,running
852,ocean_water,native_chunk,running
853,ocean_water,native_chunk,done
854,ocean_land,native_chunk,running
855,ocean_land,native_chunk,running
856,ocean_land,native_chunk,done
857,wind_air,gdext,done
858,wind_surface,gdext,done
859,transp,gdext,done
860,pass_a,data_core,done
861,pass_b,data_core,done
862,ocean_water,native_chunk,running
863,ocean_water,native_chunk,running
864,ocean_water,native_chunk,done
865,ocean_land,native_chunk,running
866,ocean_land,native_chunk,running
867,ocean_land,native_chunk,done
868,wind_air,gdext,done
869,wind_surface,gdext,done
870,transp,gdext,done
