=== cell 100 lat=0.025641 (samples=116) ===
tick,temp,t30,t365,seas_off,sea_ice,baseline,baseline_year
3295,0.281112,0.19609,0.295168,0.160417,0,0.158554,0.398688
3297,0.456402,0.20539,0.295661,0.316517,0,0.158554,0.398688
3299,0.456402,0.20539,0.295661,0.316517,0,0.158554,0.398688
3301,0.456402,0.20539,0.295661,0.316517,0,0.158554,0.398688
3303,0.456402,0.20539,0.295661,0.316517,0,0.158554,0.398688
3305,0.161052,0.203912,0.295292,0.002498,0,0.158554,0.398688
3307,0.145861,0.203912,0.295292,0.002498,0,0.158554,0.398688
3309,0.145861,0.203912,0.295292,0.002498,0,0.158554,0.398688
3311,0.145861,0.203912,0.295292,0.002498,0,0.158554,0.398688
3313,0.145861,0.203912,0.295292,0.002498,0,0.158554,0.398688
3315,0,0.197115,0.294483,-0.274259,0,0.158554,0.398688
3317,0,0.197115,0.294483,-0.274259,0,0.158554,0.398688
3319,0.003,0.197115,0.294483,-0.274259,0,0.158554,0.398688
3321,0.003,0.197115,0.294483,-0.274259,0,0.158554,0.398688
3323,0,0.190544,0.293677,-0.214803,0,0.158554,0.398688
3325,0,0.190544,0.293677,-0.214803,0,0.158554,0.398688
3327,0,0.190544,0.293677,-0.214803,0,0.158554,0.398688
3329,0,0.190544,0.293677,-0.214803,0,0.158554,0.398688
3331,0,0.190544,0.293677,-0.214803,0,0.158554,0.398688
3333,0.277865,0.194719,0.293737,0.157245,0,0.158554,0.398688
3335,0.277865,0.194719,0.293737,0.157245,0,0.158554,0.398688
3337,0.277865,0.194719,0.293737,0.157245,0,0.158554,0.398688
3339,0.277865,0.194719,0.293737,0.157245,0,0.158554,0.398688
3341,0.474957,0.20406,0.294234,0.316403,0,0.158554,0.398688
3343,0.453429,0.20406,0.294234,0.316403,0,0.158554,0.398688
